no	file_name	memos	GPS
1	2018-12-17_14-15-16_000.png	:m 読みたい本 / 『』 / 著者=XXX
2	2018-12-17_14-17-19_000.png	:m 読みたい本 / 『』 / 著者=XXX
3	2018-12-17_14-19-43_000.png	:m 読みたい本 / 『』 / 著者=XXX
4	2018-12-17_14-21-18_000.png	:m 読みたい本 / 『』 / 著者=XXX
5	2018-12-17_14-46-48_000.jpg		N-35-35-28.5 E-139-34-49.49
6	2018-12-17_17-01-37_000.jpg	:m XXX	N-35-35-28.33 E-139-34-49.54
7	2018-12-17_17-02-19_000.jpg	:diary / diary / 20181206 / (K,C,P,R,)	N-35-35-28.45 E-139-34-49.32
8	2018-12-17_17-14-00_000.jpg	:m 食べた物　間食 / ヨーグルト / += 	N-35-35-28.31 E-139-34-49.43
9	2018-12-17_18-00-58_000.jpg	:m X-X*X RES / 245 / 『相対性理論』　メラー　永田恒夫、伊藤大介、訳 / p.XX	N-35-35-28.08 E-139-34-49.05
10	2018-12-17_18-41-30_000.jpg	:m music / log / XXX / 	N-35-35-28.34 E-139-34-49.49
11	2018-12-17_20-24-10_000.jpg	:m 食べた物	N-35-35-28.46 E-139-34-49.76
12	2018-12-17_22-43-18_000.jpg		N-35-35-28.48 E-139-34-49.27
13	2018-12-18_00-40-50_000.jpg		N-35-35-28.35 E-139-34-49.49
14	2018-12-18_02-51-46_000.png	:m 読みたい本 / 『』 / 著者=XXX
15	2018-12-18_07-43-50_000.jpg		N-35-35-28.34 E-139-34-49.43
16	2018-12-18_07-59-46_000.jpg	:m 食べた物　間食 / ヨーグルト / += 	N-35-35-28.66 E-139-34-49.49
