no	file_name	memos	GPS
1	2018-11-12_13-42-32_000.jpg	:m 食べた物	N-35-35-28.26 E-139-34-49.49
2	2018-11-12_16-35-52_000.jpg	:m XXX	N-35-35-28.46 E-139-34-49.38
3	2018-11-12_18-07-56_000.jpg	:m XXX	N-35-35-28.92 E-139-34-49.49
4	2018-11-12_18-08-23_000.jpg	:m XXX	N-35-35-28.86 E-139-34-49.54
5	2018-11-12_18-09-11_000.jpg	:m XXX	N-35-35-28.85 E-139-34-48.78
6	2018-11-12_18-46-01_000.jpg	:m music / log / XXX / 	N-35-35-28.27 E-139-34-49.27
7	2018-11-12_20-10-54_000.jpg	:m 食べた物	N-35-35-28.19 E-139-34-49.43
8	2018-11-12_22-23-32_000.jpg		N-35-35-28.61 E-139-34-49.49
9	2018-11-13_01-44-38_000.jpg		N-35-35-28.49 E-139-34-49.71
10	2018-11-13_07-45-00_000.jpg		N-35-35-28.49 E-139-34-49.54
11	2018-11-13_08-01-09_000.jpg	:m 食べた物　間食 / ヨーグルト / += 	N-35-35-28.2 E-139-34-49.6
