no	file_name	memos	GPS
1	2019-03-07_07-56-51_000.jpg	:m 食べた物　間食 / 味噌スープ	N-35-35-28.67 E-139-34-49.65
2	2019-03-07_11-02-13_000.jpg	:m 食べた物	N-35-35-28.55 E-139-34-49.27
3	2019-03-07_11-41-52_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.49 E-139-34-49.49
4	2019-03-07_11-44-38_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.29 E-139-34-49.71
5	2019-03-07_11-49-31_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.49 E-139-34-49.49
6	2019-03-07_11-52-33_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.38 E-139-34-49.43
7	2019-03-07_11-59-06_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.66 E-139-34-49.65
8	2019-03-07_12-05-00_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.66 E-139-34-49.65
9	2019-03-07_12-10-41_000.jpg	:m 食べた物　間食 / 砂糖菓子	N-35-35-28.55 E-139-34-49.76
10	2019-03-07_14-02-28_000.jpg	:bookmemo / 読んだ本 / 『』 / 著者=XXX	N-35-35-28.7 E-139-34-49.38
11	2019-03-07_17-23-10_000.jpg	:m 食べた物　間食 / 味噌スープ	N-35-35-28.49 E-139-34-49.49
12	2019-03-07_18-05-43_000.jpg	:m X-X*X RES / 245 / 『相対性理論』　メラー　永田恒夫、伊藤大介、訳 / p.XX	N-35-35-28.45 E-139-34-49.32
13	2019-03-07_18-42-58_000.jpg	:m music / log / kb / 	N-35-35-28.33 E-139-34-49.22
14	2019-03-07_18-42-59_000.jpg		N-35-35-28.33 E-139-34-49.22
15	2019-03-07_18-43-24_000.jpg	:m music / log / kb / 	N-35-35-28.59 E-139-34-49.49
16	2019-03-07_20-02-53_000.jpg	:m 食べた物	N-35-35-28.63 E-139-34-49.54
17	2019-03-07_22-56-21_000.jpg		N-35-35-28.57 E-139-34-49.38
18	2019-03-07_22-56-34_000.jpg		N-35-35-28.57 E-139-34-49.38
19	2019-03-07_22-56-46_000.jpg		N-35-35-28.49 E-139-34-49.38
20	2019-03-07_22-56-57_000.jpg		N-35-35-28.49 E-139-34-49.38
21	2019-03-07_22-57-27_000.jpg		N-35-35-28.49 E-139-34-49.38
22	2019-03-07_23-46-52_000.jpg		N-35-35-28.31 E-139-34-49.54
23	2019-03-07_23-55-01_000.jpg	:m 記録 / お酒	N-35-35-28.53 E-139-34-49.82
24	2019-03-08_01-53-41_000.jpg		N-35-35-28.52 E-139-34-49.32
