no	file_name	memos	GPS
1	2018-10-23_10-41-39_000.jpg	:m 食べた物	N-35-35-28.2 E-139-34-49.49
2	2018-10-23_13-16-55_000.jpg		N-35-35-28.13 E-139-34-49.43
3	2018-10-23_15-25-58_000.jpg	:m 食べた物　間食 / ヨーグルト / += 	N-35-35-28.15 E-139-34-49.6
4	2018-10-23_16-12-22_000.png	:m 読みたい本 / 『』 / 著者=XXX
5	2018-10-23_17-37-21_000.jpg	:m XXX	N-35-35-28.37 E-139-34-49.38
6	2018-10-23_17-37-45_000.jpg	:m XXX	N-35-35-28.61 E-139-34-49.49
7	2018-10-23_18-20-11_000.jpg	:m music / log / XXX / 	N-35-35-28.15 E-139-34-49.6
8	2018-10-23_20-06-36_000.jpg	:m 食べた物	N-35-35-28.18 E-139-34-49.6
9	2018-10-23_21-23-58_000.png	:m 読みたい本 / 『』 / 著者=XXX
10	2018-10-23_22-16-02_000.jpg		N-35-35-28.12 E-139-34-49.05
11	2018-10-24_00-53-09_000.png	
12	2018-10-24_08-05-21_000.png	
