no	file_name	memos			GPS
1	2019-04-14_08-31-41_000.jpg	:m 食べた物　間食 / 味噌スープ			N-35-35-28.45 E-139-34-49.49
2	2019-04-14_10-24-19_000.jpg	:m 食べた物			N-35-35-28.45 E-139-34-49.65
3	2019-04-14_15-37-01_000.jpg	:m music / log / kb / 			N-35-35-28.7 E-139-34-49.43
4	2019-04-14_15-37-45_000.jpg	:m music / log / kb / 			N-35-35-28.94 E-139-34-49.38
5	2019-04-14_15-38-51_000.jpg	:m music / log / kb / 			N-35-35-28.79 E-139-34-49.43
6	2019-04-14_15-39-12_000.jpg	:m music / log / kb / 			N-35-35-28.79 E-139-34-49.43
7	2019-04-14_15-55-35_000.jpg	:bookmemo / 読んだ本 / 『』 / 著者=XXX			N-35-35-28.59 E-139-34-49.32
8	2019-04-14_15-56-01_000.jpg				N-35-35-28.81 E-139-34-49.54
9	2019-04-14_15-57-13_000.jpg	:bookmemo / 読んだ本 / 『』 / 著者=XXX			N-35-35-28.78 E-139-34-49.54
10	2019-04-14_16-21-13_000.png	:m 読みたい本 / 『』 / 著者=XXX
11	2019-04-14_20-18-30_000.jpg	:m 食べた物			N-35-35-28.09 E-139-34-48.83
12	2019-04-14_23-05-32_000.jpg				N-35-35-28.57 E-139-34-49.16
13	2019-04-14_23-05-50_000.jpg				N-35-35-28.57 E-139-34-49.43
14	2019-04-14_23-06-07_000.jpg				N-35-35-28.82 E-139-34-49.38
15	2019-04-15_05-55-53_000.jpg				N-35-35-29.33 E-139-34-49.6
16	2019-04-15_06-34-17_000.jpg	:m XXX			N-35-35-28.37 E-139-34-49.6
17	2019-04-15_06-34-33_000.jpg	:m XXX			N-35-35-28.34 E-139-34-49.54
18	2019-04-15_06-34-52_000.jpg	:m XXX			N-35-35-28.37 E-139-34-49.49
19	2019-04-15_06-35-02_000.jpg	:m XXX			N-35-35-28.37 E-139-34-49.49
20	2019-04-15_06-35-25_000.jpg	:m art / dessin / D-17 8# / des.XXX			N-35-35-28.37 E-139-34-49.49
